objectid,title,subject,description,location,creator,language,type,identifier,format,filename,file date,file size,rights
coll011,Dunkin',Coffee; Coffee drinks; Coffee shops; Chain stores; Big business--United States; Color photography--Digital techniques,"Digital photo of the storefront of Dunkin’, which shares a retail space with Iowa Book. Dunkin’ is a large international coffee shop chain, specializing in coffee drinks and donuts. This location has a limited menu and does not serve breakfast sandwiches or other food items apart from donuts, but does serve other non-coffee beverages.","8 S. Clinton St., Iowa City, IA","Walker, Mikayla",en,image,20250320_192523689,image/jpeg,20250320_192523689.jpg,2025-03-20,2.7 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Dunkin'. This material may be used for educational purposes only.
coll012,Get Fresh Cafe,Fruit juices; Vegetable juices; Smoothies (Beverages); Tea; Coffee drinks; Small Business; Women-owned business enterprises; Color photography--Digital techniques,"Digital photo of the storefront of Get Fresh Cafe. The window features a menu and near the door are signs advertising the store as a woman-owned business. This cafe specializes primarily in cold-pressed juices, smoothies, and healthy food. It also serves a selection of tea and coffee drinks.","109 Iowa Ave., Iowa City, IA","Walker, Mikayla",en,image,20250320_192729941,image/jpeg,20250320_192729941.jpg,2025-03-20,3.5 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Get Fresh Cafe. This material may be used for educational purposes only.
coll013,Midnight Coffee,Coffee; Coffee drinks; Coffee shops; Small business; Chain stores; Color photography--Digital techniques,"Digital photo of the storefront of Midnight Coffee. The doors are branded with the previous store name (Coffee Emporium) and a window near the entrance reads “Support your local caffeine dealer.” This coffee shop has three additional locations in the Corridor area of Eastern Iowa and specializes in coffee drinks. This cafe also offers non-coffee beverages, pastries, sandwiches, and salads. ","301 E. Market St., Iowa City, IA","Walker, Mikayla",en,image,20250425_193829951,image/jpeg,20250425_193829951.jpg,2025-04-25,2.8 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Midnight Coffee. This material may be used for educational purposes only.
coll014,The Java House,Coffee; Coffee drinks; Coffee shops; Small business; Women-owned business enterprises; Chain stores; Local foods; Color photography--Digital techniques,"Digital photo of the storefront of The Java House. This location shares a space with Heirloom Salad Company, which has the same owner and serves salads, sandwiches, and soup. Java House has three other locations in Iowa City and one in North Liberty. This coffee shop specializes in coffee drinks and features locally roasted coffee. It also serves non-coffee beverages and a selection of pastries.","211 E. Washington St., Iowa City, IA","Walker, Mikayla",en,image,20250320_195401038,image/jpeg,20250320_195401038.jpg,2025-03-20,3 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for The Java House. This material may be used for educational purposes only.
coll015,La Tea,Bubble tea; Tea; Small Business; Women-owned business enterprises; Asian American business enterprises; Color photography--Digital techniques,"Digital photo of the storefronts of La Tea and Teamo Tea. The windows of La Tea’s storefront feature a menu, signs advertising specials, and information about the business’ sustainability efforts. This store specializes in bubble milk tea drinks, but also serves other tea beverages and smoothies. They also sell a selection of accessories, plushies, and reusable cups. ","123 E. Washington St., Iowa City, IA","Walker, Mikayla",en,image,20250320_195649293,image/jpeg,20250320_195649293.jpg,2025-03-20,2.3 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for La Tea. This material may be used for educational purposes only.
coll016,Teamo Tea,Bubble tea; Tea; Small Business; Women-owned business enterprises; Asian American business enterprises; Color photography--Digital techniques,"Digital photo of the storefronts of La Tea and Teamo Tea. A menu is posted near the entrance of the store. Teamo specializes in bubble milk tea drinks, but also serves other tea beverages, smoothies, and some coffee drinks.","121 E. Washington St., Iowa City, IA","Walker, Mikayla",en,image,20250320_195649293,image/jpeg,20250320_195649293.jpg,2025-03-20,2.3 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Teamo Tea. This material may be used for educational purposes only.
coll017,Cortado,Coffee; Coffee drinks; Coffee shops; Small Business; Color photography--Digital techniques,"Digital photo of the storefront of Cortado. A sign in the window advertises Cortado hummus. Cortado is described as a European style espresso bar and Mediterranean cafe. This coffee shop specializes in coffee drinks and also offers non-coffee beverages, pastries and Mediterranean-inspired food. ","26 S. Clinton St., Iowa City, IA","Walker, Mikayla",en,image,20250320_201026326,image/jpeg,20250320_201026326.jpg,2025-03-20,2.6 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Cortado. This material may be used for educational purposes only.
coll018,Daydrink,Coffee; Coffee drinks; Coffee shops; Small Business; Local foods; Color photography--Digital techniques,"Digital photo of the storefront of Daydrink. Open hours are written on the front door and a small basketball hoop facing the interior of the shop is visible. Daydrink is located in a neighborhood with a large off-campus student population near downtown Iowa City. This coffee shop features locally roasted coffee and a reusable glass jar program to reduce paper and plastic waste. They specialize in coffee and tea drinks, and also have a small toast menu and rotating pastries offerings. ","518 Bowery St., Iowa City, IA","Walker, Mikayla",en,image,20250320_202942410,image/jpeg,20250320_202942410.jpg,2025-03-20,4.1 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Kindred Coffee. This material may be used for educational purposes only.
coll019,Kindred Coffee,Coffee; Coffee drinks; Coffee shops; Local foods; Small Business; Women-owned business enterprises; Color photography--Digital techniques,"Digital photo of the front door of Kindred Coffee, which features the shop’s open hours. Some of the seating areas and a large plant are visible inside. Kindred is a gluten-free and vegetarian cafe. They use locally roasted coffee and specialize in coffee drinks, and also offer non-coffee options, pastries, and other food options.","287 N. Linn St., Iowa City, IA","Walker, Mikayla",en,image,20250321_222434228,image/jpeg,20250321_222434228.jpg,2025-03-21,4.2 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Prairie Lights Cafe. This material may be used for educational purposes only.
coll020,Prairie Lights Cafe,Coffee; Coffee drinks; Coffee shops; Local foods; Bookstores; Women-owned business enterprises; Small Business; Color photography--Digital techniques,"Digital photo of the sign for Prairie Lights Cafe, located on the second floor of Prairie Lights Books. The chalkboard sign features the cafe’s open hours and advertises pastries from Deluxe Bakery and quiche from Leaf Kitchen. This coffee shop specializes in coffee, but also offers other non-coffee options, including beer and wine. ","15 S. Dubuque St., Iowa City, IA","Walker, Mikayla",en,image,20250409_191417890,image/jpeg,20250409_191417890.jpg,2025-04-09,4.2 MB,This digital image was taken by Mikayla Walker for non-commercial purposes and includes public signage for Daydrink. This material may be used for educational purposes only.
